goal,target,indicator,country_code,country,year,source,beach_litter_in_ocean_percent
14,14.1,14.1.1,196,cyprus,2021,center for ocean-atmospheric prediction studies (coaps),23.94
14,14.1,14.1.1,408,democratic people's republic of korea,2017,center for ocean-atmospheric prediction studies (coaps),51.9
14,14.1,14.1.1,408,democratic people's republic of korea,2018,center for ocean-atmospheric prediction studies (coaps),58.8
14,14.1,14.1.1,408,democratic people's republic of korea,2019,center for ocean-atmospheric prediction studies (coaps),55.14
14,14.1,14.1.1,408,democratic people's republic of korea,2020,center for ocean-atmospheric prediction studies (coaps),51.97
14,14.1,14.1.1,408,democratic people's republic of korea,2021,center for ocean-atmospheric prediction studies (coaps),53.15
14,14.1,14.1.1,180,democratic republic of the congo,2017,center for ocean-atmospheric prediction studies (coaps),4.83
14,14.1,14.1.1,180,democratic republic of the congo,2018,center for ocean-atmospheric prediction studies (coaps),6.58
14,14.1,14.1.1,180,democratic republic of the congo,2019,center for ocean-atmospheric prediction studies (coaps),5.1
14,14.1,14.1.1,180,democratic republic of the congo,2020,center for ocean-atmospheric prediction studies (coaps),4.35
14,14.1,14.1.1,180,democratic republic of the congo,2021,center for ocean-atmospheric prediction studies (coaps),2.42
14,14.1,14.1.1,208,denmark,2017,center for ocean-atmospheric prediction studies (coaps),9.68
14,14.1,14.1.1,208,denmark,2018,center for ocean-atmospheric prediction studies (coaps),25.31
14,14.1,14.1.1,208,denmark,2019,center for ocean-atmospheric prediction studies (coaps),25.6
14,14.1,14.1.1,208,denmark,2020,center for ocean-atmospheric prediction studies (coaps),16.76
14,14.1,14.1.1,208,denmark,2021,center for ocean-atmospheric prediction studies (coaps),20.9
14,14.1,14.1.1,262,djibouti,2017,center for ocean-atmospheric prediction studies (coaps),20.79
14,14.1,14.1.1,262,djibouti,2018,center for ocean-atmospheric prediction studies (coaps),16.93
14,14.1,14.1.1,262,djibouti,2019,center for ocean-atmospheric prediction studies (coaps),12.07
14,14.1,14.1.1,262,djibouti,2020,center for ocean-atmospheric prediction studies (coaps),22.54
14,14.1,14.1.1,262,djibouti,2021,center for ocean-atmospheric prediction studies (coaps),17.56
14,14.1,14.1.1,212,dominica,2017,center for ocean-atmospheric prediction studies (coaps),48.4
