goal,target,indicator,country_code,country,year,source,beach_litter_in_ocean_value
14,14.1,14.1.1,232,eritrea,2019,center for ocean-atmospheric prediction studies (coaps),242.0
14,14.1,14.1.1,232,eritrea,2020,center for ocean-atmospheric prediction studies (coaps),854.0
14,14.1,14.1.1,232,eritrea,2021,center for ocean-atmospheric prediction studies (coaps),305.0
14,14.1,14.1.1,233,estonia,2017,center for ocean-atmospheric prediction studies (coaps),7.0
14,14.1,14.1.1,233,estonia,2018,center for ocean-atmospheric prediction studies (coaps),7.0
14,14.1,14.1.1,233,estonia,2019,center for ocean-atmospheric prediction studies (coaps),20.0
14,14.1,14.1.1,233,estonia,2020,center for ocean-atmospheric prediction studies (coaps),3.0
14,14.1,14.1.1,233,estonia,2021,center for ocean-atmospheric prediction studies (coaps),26.0
14,14.1,14.1.1,150,europe,2017,center for ocean-atmospheric prediction studies (coaps),59288.0
14,14.1,14.1.1,150,europe,2018,center for ocean-atmospheric prediction studies (coaps),59693.0
14,14.1,14.1.1,150,europe,2019,center for ocean-atmospheric prediction studies (coaps),66825.0
14,14.1,14.1.1,150,europe,2020,center for ocean-atmospheric prediction studies (coaps),59937.0
14,14.1,14.1.1,150,europe,2021,center for ocean-atmospheric prediction studies (coaps),67545.0
14,14.1,14.1.1,150,europe,2022,center for ocean-atmospheric prediction studies (coaps),66945.0
14,14.1,14.1.1,513,europe and northern america,2017,center for ocean-atmospheric prediction studies (coaps),93926.0
14,14.1,14.1.1,513,europe and northern america,2018,center for ocean-atmospheric prediction studies (coaps),95790.0
14,14.1,14.1.1,513,europe and northern america,2019,center for ocean-atmospheric prediction studies (coaps),104366.0
14,14.1,14.1.1,513,europe and northern america,2020,center for ocean-atmospheric prediction studies (coaps),98815.0
14,14.1,14.1.1,513,europe and northern america,2021,center for ocean-atmospheric prediction studies (coaps),107042.0
14,14.1,14.1.1,513,europe and northern america,2022,center for ocean-atmospheric prediction studies (coaps),108602.0
14,14.1,14.1.1,242,fiji,2017,center for ocean-atmospheric prediction studies (coaps),766.0
14,14.1,14.1.1,242,fiji,2018,center for ocean-atmospheric prediction studies (coaps),969.0
14,14.1,14.1.1,242,fiji,2019,center for ocean-atmospheric prediction studies (coaps),723.0
14,14.1,14.1.1,242,fiji,2020,center for ocean-atmospheric prediction studies (coaps),758.0
14,14.1,14.1.1,242,fiji,2021,center for ocean-atmospheric prediction studies (coaps),968.0
14,14.1,14.1.1,246,finland,2017,center for ocean-atmospheric prediction studies (coaps),23.0
14,14.1,14.1.1,246,finland,2018,center for ocean-atmospheric prediction studies (coaps),38.0
14,14.1,14.1.1,246,finland,2019,center for ocean-atmospheric prediction studies (coaps),40.0
14,14.1,14.1.1,246,finland,2020,center for ocean-atmospheric prediction studies (coaps),13.0
14,14.1,14.1.1,246,finland,2021,center for ocean-atmospheric prediction studies (coaps),85.0
14,14.1,14.1.1,250,france,2017,center for ocean-atmospheric prediction studies (coaps),405.0
14,14.1,14.1.1,250,france,2018,center for ocean-atmospheric prediction studies (coaps),507.0
14,14.1,14.1.1,250,france,2019,center for ocean-atmospheric prediction studies (coaps),564.0
14,14.1,14.1.1,250,france,2020,center for ocean-atmospheric prediction studies (coaps),459.0
14,14.1,14.1.1,250,france,2021,center for ocean-atmospheric prediction studies (coaps),498.0
14,14.1,14.1.1,254,french guiana,2017,center for ocean-atmospheric prediction studies (coaps),13.0
14,14.1,14.1.1,254,french guiana,2018,center for ocean-atmospheric prediction studies (coaps),13.0
