goal,target,indicator,country_code,country,year,source,beach_litter_in_beach_value
14,14.1,14.1.1,12,algeria,2022,center for ocean-atmospheric prediction studies (coaps),220.0
14,14.1,14.1.1,12,algeria,2022,center for ocean-atmospheric prediction studies (coaps),1547.0
14,14.1,14.1.1,12,algeria,2022,center for ocean-atmospheric prediction studies (coaps),1692.0
14,14.1,14.1.1,12,algeria,2022,center for ocean-atmospheric prediction studies (coaps),17.0
14,14.1,14.1.1,12,algeria,2022,center for ocean-atmospheric prediction studies (coaps),6168.0
14,14.1,14.1.1,12,algeria,2022,center for ocean-atmospheric prediction studies (coaps),3176.0
14,14.1,14.1.1,12,algeria,2022,center for ocean-atmospheric prediction studies (coaps),5.0
14,14.1,14.1.1,12,algeria,2022,center for ocean-atmospheric prediction studies (coaps),296.0
14,14.1,14.1.1,12,algeria,2022,center for ocean-atmospheric prediction studies (coaps),48869.0
14,14.1,14.1.1,12,algeria,2022,center for ocean-atmospheric prediction studies (coaps),775.0
14,14.1,14.1.1,12,algeria,2022,center for ocean-atmospheric prediction studies (coaps),3007.0
14,14.1,14.1.1,12,algeria,2022,center for ocean-atmospheric prediction studies (coaps),47581.0
14,14.1,14.1.1,12,algeria,2022,center for ocean-atmospheric prediction studies (coaps),5897.0
14,14.1,14.1.1,12,algeria,2022,center for ocean-atmospheric prediction studies (coaps),7.0
14,14.1,14.1.1,12,algeria,2022,center for ocean-atmospheric prediction studies (coaps),2675.0
14,14.1,14.1.1,19,americas,2017,center for ocean-atmospheric prediction studies (coaps),1351817.0
14,14.1,14.1.1,19,americas,2018,center for ocean-atmospheric prediction studies (coaps),1414950.0
14,14.1,14.1.1,19,americas,2019,center for ocean-atmospheric prediction studies (coaps),1491479.0
14,14.1,14.1.1,19,americas,2020,center for ocean-atmospheric prediction studies (coaps),1501870.0
14,14.1,14.1.1,19,americas,2021,center for ocean-atmospheric prediction studies (coaps),1539900.0
14,14.1,14.1.1,19,americas,2022,center for ocean-atmospheric prediction studies (coaps),1539159.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),9.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),23.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),76.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),0.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),2971.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),7.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),13.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),8.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),6.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),71.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),0.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),679.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),6.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),1.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),752.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),759.0
14,14.1,14.1.1,24,angola,2017,center for ocean-atmospheric prediction studies (coaps),1.0
