goal,target,indicator,country_code,country,year,source,beach_litter_in_beach_percent
14,14.1,14.1.1,232,eritrea,2017,center for ocean-atmospheric prediction studies (coaps),88.8
14,14.1,14.1.1,232,eritrea,2018,center for ocean-atmospheric prediction studies (coaps),86.05
14,14.1,14.1.1,232,eritrea,2019,center for ocean-atmospheric prediction studies (coaps),95.91
14,14.1,14.1.1,232,eritrea,2020,center for ocean-atmospheric prediction studies (coaps),85.97
14,14.1,14.1.1,232,eritrea,2021,center for ocean-atmospheric prediction studies (coaps),95.1
14,14.1,14.1.1,233,estonia,2017,center for ocean-atmospheric prediction studies (coaps),94.78
14,14.1,14.1.1,233,estonia,2018,center for ocean-atmospheric prediction studies (coaps),95.0
14,14.1,14.1.1,233,estonia,2019,center for ocean-atmospheric prediction studies (coaps),86.21
14,14.1,14.1.1,233,estonia,2020,center for ocean-atmospheric prediction studies (coaps),98.66
14,14.1,14.1.1,233,estonia,2021,center for ocean-atmospheric prediction studies (coaps),82.89
14,14.1,14.1.1,150,europe,2017,center for ocean-atmospheric prediction studies (coaps),64.98
14,14.1,14.1.1,150,europe,2018,center for ocean-atmospheric prediction studies (coaps),62.63
14,14.1,14.1.1,150,europe,2019,center for ocean-atmospheric prediction studies (coaps),62.62
14,14.1,14.1.1,150,europe,2020,center for ocean-atmospheric prediction studies (coaps),66.49
14,14.1,14.1.1,150,europe,2021,center for ocean-atmospheric prediction studies (coaps),61.99
14,14.1,14.1.1,150,europe,2022,center for ocean-atmospheric prediction studies (coaps),68.16
14,14.1,14.1.1,513,europe and northern america,2017,center for ocean-atmospheric prediction studies (coaps),56.53
14,14.1,14.1.1,513,europe and northern america,2018,center for ocean-atmospheric prediction studies (coaps),57.04
14,14.1,14.1.1,513,europe and northern america,2019,center for ocean-atmospheric prediction studies (coaps),56.07
14,14.1,14.1.1,513,europe and northern america,2020,center for ocean-atmospheric prediction studies (coaps),56.86
14,14.1,14.1.1,513,europe and northern america,2021,center for ocean-atmospheric prediction studies (coaps),55.93
14,14.1,14.1.1,513,europe and northern america,2022,center for ocean-atmospheric prediction studies (coaps),59.63
14,14.1,14.1.1,242,fiji,2017,center for ocean-atmospheric prediction studies (coaps),72.89
14,14.1,14.1.1,242,fiji,2018,center for ocean-atmospheric prediction studies (coaps),67.22
14,14.1,14.1.1,242,fiji,2019,center for ocean-atmospheric prediction studies (coaps),76.4
14,14.1,14.1.1,242,fiji,2020,center for ocean-atmospheric prediction studies (coaps),75.95
14,14.1,14.1.1,242,fiji,2021,center for ocean-atmospheric prediction studies (coaps),69.97
14,14.1,14.1.1,246,finland,2017,center for ocean-atmospheric prediction studies (coaps),94.29
14,14.1,14.1.1,246,finland,2018,center for ocean-atmospheric prediction studies (coaps),90.97
14,14.1,14.1.1,246,finland,2019,center for ocean-atmospheric prediction studies (coaps),90.85
14,14.1,14.1.1,246,finland,2020,center for ocean-atmospheric prediction studies (coaps),97.1
14,14.1,14.1.1,246,finland,2021,center for ocean-atmospheric prediction studies (coaps),81.48
14,14.1,14.1.1,250,france,2017,center for ocean-atmospheric prediction studies (coaps),73.77
14,14.1,14.1.1,250,france,2018,center for ocean-atmospheric prediction studies (coaps),68.53
14,14.1,14.1.1,250,france,2019,center for ocean-atmospheric prediction studies (coaps),66.21
14,14.1,14.1.1,250,france,2020,center for ocean-atmospheric prediction studies (coaps),73.25
14,14.1,14.1.1,250,france,2021,center for ocean-atmospheric prediction studies (coaps),71.62
14,14.1,14.1.1,254,french guiana,2017,center for ocean-atmospheric prediction studies (coaps),77.97
14,14.1,14.1.1,254,french guiana,2018,center for ocean-atmospheric prediction studies (coaps),78.69
14,14.1,14.1.1,254,french guiana,2019,center for ocean-atmospheric prediction studies (coaps),79.69
14,14.1,14.1.1,254,french guiana,2020,center for ocean-atmospheric prediction studies (coaps),67.69
14,14.1,14.1.1,254,french guiana,2021,center for ocean-atmospheric prediction studies (coaps),70.15
14,14.1,14.1.1,266,gabon,2017,center for ocean-atmospheric prediction studies (coaps),99.36
