"SCENARIO","Scenario","PLASTIC_LEAKAGE_TO_OCEAN","Variable","TIME","Time","Value","Flag Codes","Flags"
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2053","2053",297.198801,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2054","2054",304.226922,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2055","2055",311.352672,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2056","2056",318.578813,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2057","2057",325.904063,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2058","2058",333.326938,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2059","2059",340.845908,,
"CENTRAL_BASELINE","Baseline","ACCUMULATED_STOCK_IN_RIVERS","Accumulated stock in rivers and lakes","2060","2060",348.462219,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2019","2019",6.09622,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2020","2020",6.195208,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2021","2021",6.282587,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2022","2022",6.386267,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2023","2023",6.474415,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2024","2024",6.558855,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2025","2025",6.647614,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2026","2026",6.742396,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2027","2027",6.841229,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2028","2028",6.943673,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2029","2029",7.047507,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2030","2030",7.162639,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2031","2031",7.277264,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2032","2032",7.393087,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2033","2033",7.510863,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2034","2034",7.631502,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2035","2035",7.754794,,
"CENTRAL_BASELINE","Baseline","PLAS_LEAKAGE_FROM_MIS_W_AND_L","Plastic leakage to water from mismanaged waste and litter","2036","2036",7.880308,,
