bleaching,ocean,year,depth,storms,humanimpact,siltation,dynamite,poison,sewage,industrial,commercial
no,pacific,2013,11.0,no,none,never,none,none,none,none,none
no,pacific,2014,12.5,no,none,never,none,none,none,none,none
no,pacific,2016,12.0,no,none,never,none,none,none,none,none
no,pacific,2013,12.0,no,none,never,none,none,none,none,none
no,pacific,2013,12.0,no,none,never,none,none,none,none,none
no,pacific,2016,10.0,no,none,never,none,none,none,none,none
no,pacific,2013,8.5,no,moderate,occasionally,none,none,low,moderate,moderate
no,pacific,2013,5.5,no,moderate,occasionally,none,none,low,moderate,moderate
no,pacific,2013,8.5,no,moderate,occasionally,none,none,low,moderate,moderate
no,pacific,2013,5.5,no,moderate,occasionally,none,none,low,moderate,moderate
no,pacific,2013,10.0,no,moderate,occasionally,none,none,low,moderate,moderate
no,pacific,2014,10.0,no,none,never,none,none,low,moderate,low
no,pacific,2015,10.0,no,none,never,none,none,low,moderate,low
no,pacific,2013,10.0,no,moderate,occasionally,none,none,low,moderate,moderate
no,pacific,2014,10.0,no,none,never,none,none,low,moderate,low
no,pacific,2015,10.0,no,none,never,none,none,low,moderate,low
no,pacific,2015,8.0,no,moderate,never,moderate,low,none,none,low
no,indian,2001,3.0,no,high,never,low,low,low,none,none
no,indian,2001,10.0,no,high,never,low,low,low,none,none
